Grapheme	GraphFrequency	WordFrequency	Difference
'	1	1	0
(	389	389	0
=	6	6	0
[	113	113	0
]	113	113	0
‘	846	846	0
“	7069	7069	0
:	1684	1682	2
x	5	2	3
?	2836	2832	4
v	6	2	4
q	8	1	7
;	5981	5972	9
)	439	428	11
’	824	813	11
j	21	7	14
!	2904	2888	16
f	31	10	21
c	37	13	24
b	42	7	35
”	5945	5907	38
9	84	18	66
y	124	1	123
8	151	14	137
6	177	20	157
.	39812	39653	159
7	186	11	175
4	215	25	190
5	250	10	240
3	266	15	251
2	424	27	397
,	59696	59268	428
1	466	13	453
—	806	192	614
-	6502	47	6455
O	7026	7	7019
E	10367	3102	7265
I	17287	8643	8644
A	14192	1041	13151
g	74376	1	74375
t	84272	2	84270
d	92301	5	92296
u	95684	3	95681
l	153307	1	153306
p	163783	2	163781
w	180514	2	180512
k	234330	2	234328
h	285771	4	285767
i	339643	5	339638
e	394586	7075	387511
a	494976	1358	493618
