Grapheme	Frequency	Codepoint	UnicodeName
 	800997	U+0020	SPACE
 ‍	7	U+0020, U+200D	SPACE, ZERO WIDTH JOINER
-	4333	U+002D	HYPHEN-MINUS
-‍	12	U+002D, U+200D	HYPHEN-MINUS, ZERO WIDTH JOINER
,	35921	U+002C	COMMA
;	5200	U+003B	SEMICOLON
:	15576	U+003A	COLON
!	31	U+0021	EXCLAMATION MARK
?	3451	U+003F	QUESTION MARK
.	121	U+002E	FULL STOP
।	65018	U+0964	DEVANAGARI DANDA
‘	1925	U+2018	LEFT SINGLE QUOTATION MARK
’	1925	U+2019	RIGHT SINGLE QUOTATION MARK
“	7425	U+201C	LEFT DOUBLE QUOTATION MARK
”	7425	U+201D	RIGHT DOUBLE QUOTATION MARK
(	2	U+0028	LEFT PARENTHESIS
)	2	U+0029	RIGHT PARENTHESIS
/	1	U+002F	SOLIDUS
०	3937	U+0966	DEVANAGARI DIGIT ZERO
१	17803	U+0967	DEVANAGARI DIGIT ONE
२	12346	U+0968	DEVANAGARI DIGIT TWO
३	6928	U+0969	DEVANAGARI DIGIT THREE
४	5500	U+096A	DEVANAGARI DIGIT FOUR
५	4738	U+096B	DEVANAGARI DIGIT FIVE
६	3858	U+096C	DEVANAGARI DIGIT SIX
७	3722	U+096D	DEVANAGARI DIGIT SEVEN
८	3133	U+096E	DEVANAGARI DIGIT EIGHT
९	3072	U+096F	DEVANAGARI DIGIT NINE
अ	7241	U+0905	DEVANAGARI LETTER A
अ‍	4	U+0905, U+200D	DEVANAGARI LETTER A, ZERO WIDTH JOINER
आ	55061	U+0906	DEVANAGARI LETTER AA
आ‍	9	U+0906, U+200D	DEVANAGARI LETTER AA, ZERO WIDTH JOINER
आं	11888	U+0906, U+0902	DEVANAGARI LETTER AA, DEVANAGARI SIGN ANUSVARA
इ	76817	U+0907	DEVANAGARI LETTER I
इ‍	542	U+0907, U+200D	DEVANAGARI LETTER I, ZERO WIDTH JOINER
इ‍‍	10	U+0907, U+200D, U+200D	DEVANAGARI LETTER I, ZERO WIDTH JOINER, ZERO WIDTH JOINER
इ‌	1	U+0907, U+200C	DEVANAGARI LETTER I, ZERO WIDTH NON-JOINER
इं	841	U+0907, U+0902	DEVANAGARI LETTER I, DEVANAGARI SIGN ANUSVARA
ई	11	U+0908	DEVANAGARI LETTER II
उ	1941	U+0909	DEVANAGARI LETTER U
उ‍	1	U+0909, U+200D	DEVANAGARI LETTER U, ZERO WIDTH JOINER
उं	176	U+0909, U+0902	DEVANAGARI LETTER U, DEVANAGARI SIGN ANUSVARA
ऊ	1262	U+090A	DEVANAGARI LETTER UU
ए	9917	U+090F	DEVANAGARI LETTER E
ए‍	1	U+090F, U+200D	DEVANAGARI LETTER E, ZERO WIDTH JOINER
एं	3	U+090F, U+0902	DEVANAGARI LETTER E, DEVANAGARI SIGN ANUSVARA
ऐ	70	U+0910	DEVANAGARI LETTER AI
ओ	2239	U+0913	DEVANAGARI LETTER O
ओं	818	U+0913, U+0902	DEVANAGARI LETTER O, DEVANAGARI SIGN ANUSVARA
ओे	1	U+0913, U+0947	DEVANAGARI LETTER O, DEVANAGARI VOWEL SIGN E
औं	42	U+0914, U+0902	DEVANAGARI LETTER AU, DEVANAGARI SIGN ANUSVARA
क	45199	U+0915	DEVANAGARI LETTER KA
क‍	24	U+0915, U+200D	DEVANAGARI LETTER KA, ZERO WIDTH JOINER
का	9277	U+0915, U+093E	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN AA
का‍	1	U+0915, U+093E, U+200D	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN AA, ZERO WIDTH JOINER
कां	269	U+0915, U+093E, U+0902	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN AA, DEVANAGARI SIGN ANUSVARA
कि	1075	U+0915, U+093F	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN I
कि‍	1	U+0915, U+093F, U+200D	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN I, ZERO WIDTH JOINER
किं	273	U+0915, U+093F, U+0902	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN I, DEVANAGARI SIGN ANUSVARA
की	16811	U+0915, U+0940	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN II
की‍	5	U+0915, U+0940, U+200D	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN II, ZERO WIDTH JOINER
कु	3953	U+0915, U+0941	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN U
कु‍	4	U+0915, U+0941, U+200D	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN U, ZERO WIDTH JOINER
कुं	12	U+0915, U+0941, U+0902	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN U, DEVANAGARI SIGN ANUSVARA
कू	743	U+0915, U+0942	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN UU
कूं	6	U+0915, U+0942, U+0902	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN UU, DEVANAGARI SIGN ANUSVARA
के	11372	U+0915, U+0947	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN E
के‍	1	U+0915, U+0947, U+200D	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN E, ZERO WIDTH JOINER
कै	97	U+0915, U+0948	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN AI
को	35658	U+0915, U+094B	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN O
को‍	7	U+0915, U+094B, U+200D	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN O, ZERO WIDTH JOINER
कों	1123	U+0915, U+094B, U+0902	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN O, DEVANAGARI SIGN ANUSVARA
कौ	10	U+0915, U+094C	DEVANAGARI LETTER KA, DEVANAGARI VOWEL SIGN AU
क्‍	99140	U+0915, U+094D, U+200D	DEVANAGARI LETTER KA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER
क्‍‍	671	U+0915, U+094D, U+200D, U+200D	DEVANAGARI LETTER KA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER
क्	1380	U+0915, U+094D	DEVANAGARI LETTER KA, DEVANAGARI SIGN VIRAMA
क्‍‍‍	9	U+0915, U+094D, U+200D, U+200D, U+200D	DEVANAGARI LETTER KA, DEVANAGARI SIGN VIRAMA, ZERO WIDTH JOINER, ZERO WIDTH JOINER, ZERO WIDTH JOINER
ख	1613	U+0916	DEVANAGARI LETTER KHA
ख‍	1	U+0916, U+200D	DEVANAGARI LETTER KHA, ZERO WIDTH JOINER
खा	1288	U+0916, U+093E	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN AA
खा‍	1	U+0916, U+093E, U+200D	DEVANAGARI LETTER KHA, DEVANAGARI VOWEL SIGN AA, ZERO WIDTH JOINER
